,0,1,2,3,4,5,6,7,8,9,10,11,12
0,,,,,,,Total Number,,Approximate,,,,
1,,,,,,,of Shares,,Dollar Value,,,,
2,,,,,,,Purchased as,,of Shares that,,,,
3,Total Number,,Average,,Part of Publicly,,May Yet Be,,,,,,
4,of Shares,,Price Paid,,Announced,,Purchased Under,,,,,,
5,Period,,Purchased,,per Share,,Program,,The Program*,,,,
6,,,,,,,,,,,,,
7,"July
  1, 2013 - July 31, 2013",,"4,263,207",,,194.43,,,"4,263,207",,,"6,828,768,788",
8,,,,,,,,,,,,,
9,"August
  1, 2013 - August 31, 2013",,,"3,232,800",,,187.25,,,"3,232,800",,,"6,223,411,517"
10,,,,,,,,,,,,,
11,"September
  1, 2013 - September 30, 2013",,"3,040,200",,,188.99,,,"3,040,200",,,"5,648,842,668",
12,,,,,,,,,,,,,
13,Total,,,"10,536,207",,,190.66,,,"10,536,207",,,
