,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,"Fair Values of Derivative Instruments in
  the Consolidated Statement of Financial Position",,,,,,,,,,,,,,,
1,"As of September 30, 2013 and December 31,
  2012",,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,
3,(Dollars in millions),Fair Value of Derivative Assets,,Fair Value of Derivative Liabilities,,,,,,,,,,,,
4,Balance Sheet,,,,,,,,Balance Sheet,,,,,,,
5,Classification,,9/30/2013,,12/31/2012,,Classification,,9/30/2013,,12/31/2012,,,,,
6,Designated as hedging,,,,,,,,,,,,,,,
7,instruments,,,,,,,,,,,,,,,
8,Interest rate contracts,"Prepaid
  expenses and",,,,,,,,"Other
  accrued",,,,,,
9,"other
  current assets",,,41,,,47,,"expenses
  and liabilities",,,—,,,—,
10,"Investments
  and sundry",,,,,,,,,,,,,,,
11,assets,,,371,,,557,,"Other
  liabilities",,,—,,,—,
12,Foreign exchange,"Prepaid
  expenses and",,,,,,,,"Other
  accrued",,,,,,
13,contracts,"other
  current assets",,,138,,,135,,"expenses
  and liabilities",,,378,,,267
14,"Investments
  and sundry",,,,,,,,,,,,,,,
15,assets,,,—,,,5,,"Other
  liabilities",,,150,,,78,
16,,,,,,,,,,,,,,,,
17,Fair value of derivative,,,,,,,,,Fair value of derivative,,,,,,
18,assets,,,,550,,,744,,liabilities,,,528,,,345
19,,,,,,,,,,,,,,,,
20,Not designated as,,,,,,,,,,,,,,,
21,hedging instruments,,,,,,,,,,,,,,,
22,Foreign exchange,"Prepaid
  expenses and",,,,,,,,"Other
  accrued",,,,,,
23,contracts,"other
  current assets",,,208,,,142,,"expenses
  and liabilities",,,47,,,152
24,"Investments
  and sundry",,,,,,,,,,,,,,,
25,assets,,,25,,,23,,"Other
  liabilities",,,—,,,—,
26,Equity contracts,"Prepaid
  expenses and",,,,,,,,"Other
  accrued",,,,,,
27,"other
  current assets",,,9,,,9,,"expenses
  and liabilities",,,7,,,7,
28,Fair value of derivative,,,,,,,,,Fair value of derivative,,,,,,
29,assets,,,,242,,,174,,liabilities,,,53,,,159
30,,,,,,,,,,,,,,,,
31,Total debt designated as,,,,,,,,,,,,,,,
32,hedging instruments,,,,,,,,,,,,,,,
33,"Short-term
  debt",,,N/A,,,N/A,,,,,"1,219",,,578,
34,"Long-term
  debt",,,N/A,,,N/A,,,,,"2,297",,,"3,035",
35,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,
37,Total,,,,793,,,918,,,,,"4,097",,,"4,116"
38,,,,,,,,,,,,,,,,
39,N/A-not applicable,,,,,,,,,,,,,,,
