,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,,,,,,,,,,,,,,,,
1,"The Effect of Derivative Instruments in
  the Consolidated Statement of Earnings",,,,,,,,,,,,,,,
2,"For the nine months ended September 30,
  2013 and 2012",,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,
4,(Dollars in millions),,"Gain (Loss) Recognized in
  Earnings",,,,,,,,,,,,,
5,Consolidated,,,,,,,,,,,,,,,
6,Statement of,,Recognized on,,Attributable to Risk,,,,,,,,,,,
7,Earnings Line Item,,Derivatives(1),,Being Hedged(2),,,,,,,,,,,
8,For the nine months ended September 30,,,,,2013,,,2012,,,2013,,,2012,
9,Derivative instruments in fair value hedges,,,,,,,,,,,,,,,
10,"Interest
  rate contracts",,"Cost
  of financing",,,(82),,,68,,,156,,,27,
11,"Interest
  expense",,,(53),,,58,,,101,,,23,,,
12,Derivative instruments not designated as,,,,,,,,,,,,,,,
13,hedging instruments(1),,,,,,,,,,,,,,,
14,"Foreign
  exchange contracts",,"Other
  (income)",,,,,,,,,,,,,
15,"and
  expense",,,(265),,,(56),,,N/A,,,N/A,,,
16,"Equity
  contracts",,"SG&A
  expense",,,105,,,116,,,N/A,,,N/A,
17,,,,,,,,,,,,,,,,
18,Total,,,,,(295),,,186,,,257,,,50,
19,,,,,,,,,,,,,,,,
