,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,,,,,,,,,,,,,,,,,,,,,,
1,,,,"Gain (Loss) Recognized in
  Earnings and Other Comprehensive Income",,,,,,,,,,,,,,,,,,
2,,,,,,,Consolidated,,,,,,,,(Ineffectiveness) and,,,,,,,
3,Effective Portion,,Statement of,,"Effective Portion
  Reclassified",,Amounts Excluded from,,,,,,,,,,,,,,,
4,Recognized in OCI,,Earnings Line Item,,from AOCI,,Effectiveness Testing(3),,,,,,,,,,,,,,,
5,For the nine months,,,,,,,,,,,,,,,,,,,,,
6,ended September 30,,2013,,2012,,,,2013,,2012,,2013,,2012,,,,,,,
7,Derivative instruments,,,,,,,,,,,,,,,,,,,,,
8,in cash flow hedges,,,,,,,,,,,,,,,,,,,,,
9,"Interest
  rate contracts",,,—,,,—,,"Interest
  expense",,,—,,,(6),,,—,,,—,
10,"Other
  (income)",,,,,,,,,,,,,,,,,,,,,
11,"Foreign
  exchange",,,(59),,,65,,"and
  expense",,,115,,,209,,,(0),,,3,
12,contracts,,,,,,,,"Cost
  of sales",,,(15),,,22,,,—,,,—,
13,"SG&A
  expense",,,29,,,21,,,—,,,—,,,,,,,,,
14,Instruments in net,,,,,,,,,,,,,,,,,,,,,
15,investment hedges(4),,,,,,,,,,,,,,,,,,,,,
16,"Foreign
  exchange",,,,,,,,,,,,,,,,,,,,,
17,contracts,,,58,,,(23),,"Interest
  expense",,,—,,,—,,,3,,,9,
18,,,,,,,,,,,,,,,,,,,,,,
19,Total,,,(1),,,42,,,,,129,,,246,,,3,,,12,
20,,,,,,,,,,,,,,,,,,,,,,
