,0,1,2,3,4,5,6
0,,,"At September 30,",,"At December 31,",,
1,(Dollars in millions),,2013,,2012,,
2,Current,,,,,,
3,"Net
  investment in sales-type and direct financing leases",,,"4,078",,,"3,862"
4,"Commercial
  financing receivables",,,"6,278",,,"7,750"
5,"Client
  loan receivables",,,"5,218",,,"5,395"
6,"Installment
  payment receivables",,,"1,212",,,"1,031"
7,Total,,,"16,786",,,"18,038"
8,Noncurrent,,,,,,
9,"Net
  investment in sales-type and direct financing leases",,,"5,454",,,"6,107"
10,"Commercial
  financing receivables",,,—,,,5
11,"Client
  loan receivables",,,"5,555",,,"5,966"
12,"Installment
  payment receivables",,,666,,,733
13,Total,,,"11,675",,,"12,812"
