,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,,,"At September 30, 2013",,"At December 31, 2012",,,,,,,,,,,,,,,,,
1,,,Recorded,,Related,,Recorded,,Related,,,,,,,,,,,,,
2,"(Dollars in
  millions)",,Investment,,Allowance,,Investment,,Allowance,,,,,,,,,,,,,
3,Major markets,,,74,,,68,,,88,,,77,,,,,,,,,
4,Growth markets,,,109,,,102,,,72,,,65,,,,,,,,,
5,Total,,,183,,,170,,,160,,,143,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,
7,Interest,,,,,,,,,,,,,,,,,,,,,
8,Average,,Interest,,Income,,,,,,,,,,,,,,,,,
9,"(Dollars in
  millions)",,Recorded,,Income,,Recognized on,,,,,,,,,,,,,,,
10,"For the three
  months ended September 30, 2013",,Investment,,Recognized,,Cash Basis,,,,,,,,,,,,,,,
11,Major markets,,,73,,,0,,,0,,,,,,,,,,,,
12,Growth markets,,,102,,,0,,,0,,,,,,,,,,,,
13,Total,,,174,,,0,,,0,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,
15,Interest,,,,,,,,,,,,,,,,,,,,,
16,Average,,Interest,,Income,,,,,,,,,,,,,,,,,
17,"(Dollars in
  millions)",,Recorded,,Income,,Recognized on,,,,,,,,,,,,,,,
18,"For the three
  months ended September 30, 2012",,Investment,,Recognized,,Cash Basis,,,,,,,,,,,,,,,
19,Major markets,,,84,,,0,,,0,,,,,,,,,,,,
20,Growth markets,,,63,,,0,,,0,,,,,,,,,,,,
21,Total,,,147,,,0,,,0,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,
