,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,,,,Lease Receivables,,Loan Receivables,,,,,,,,
1,(Dollars in millions),,Major,,Growth,,Major,,Growth,,,,,
2,"At September 30, 2013",,Markets,,Markets,,Markets,,Markets,,,,,
3,"Credit
  Rating",,,,,,,,,,,,,
4,"AAA
  – AA-",,,606,,,71,,,817,,,129,
5,"A+
  – A-",,,"1,520",,,178,,,"2,049",,,324,
6,"BBB+
  – BBB-",,,"2,154",,,875,,,"2,904",,,"1,593",
7,"BB+
  – BB",,,"1,421",,,306,,,"1,916",,,557,
8,"BB-
  – B+",,,533,,,412,,,719,,,750,
9,"B
  – B-",,,356,,,198,,,480,,,361,
10,"CCC+
  – D",,,115,,,64,,,155,,,116,
11,Total,,,"6,705",,,"2,104",,,"9,042",,,"3,830",
