,0,1,2,3,4,5,6,7,8,9,10,11,12
0,,,,,,,,,,,,,
1,,,,,,,,,,,,Recorded,
2,,,Total,,,,,Total,,Investment,,,
3,(Dollars in millions),,Past Due,,,,,Financing,,> 90 Days,,,
4,"At December 31, 2012",,> 90 days*,,Current,,Receivables,,and Accruing,,,,
5,"Major
  markets",,,8,,,"7,028",,,"7,036",,,5
6,"Growth
  markets",,,11,,,"2,127",,,"2,138",,,8
7,"Total
  lease receivables",,,20,,,"9,154",,,"9,174",,,13
8,,,,,,,,,,,,,
9,"Major
  markets",,,27,,,"9,639",,,"9,666",,,8
10,"Growth
  markets",,,36,,,"3,634",,,"3,670",,,31
11,"Total
  loan receivables",,,63,,,"13,273",,,"13,336",,,39
12,,,,,,,,,,,,,
13,Total,,,82,,,"22,428",,,"22,510",,,52
14,,,,,,,,,,,,,
15,* Does not include accounts that are fully reserved.,,,,,,,,,,,,
16,,,,,,,,,,,,,
