,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,"Accumulated Other Comprehensive Income/(Loss) (net of
  tax)",,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,
2,,,,,,,,,,Net Change,,Net Unrealized,,,,,
3,Net Unrealized,,Foreign,,Retirement-,,Gains/(Losses),,Accumulated,,,,,,,,
4,Gains/(Losses),,Currency,,Related,,on Available-,,Other,,,,,,,,
5,on Cash Flow,,Translation,,Benefit,,For-Sale,,Comprehensive,,,,,,,,
6,(Dollars in Millions),,Hedges,,Adjustments*,,Plans,,Securities,,Income/(Loss),,,,,,
7,"January 1, 2013",,,(90),,,"1,733",,,"(27,406)",,,4,,,"(25,759)",
8,Other comprehensive income before,,,,,,,,,,,,,,,,
9,reclassifications,,,(33),,,(980),,,218,,,2,,,(793),
10,Amount reclassified from accumulated,,,,,,,,,,,,,,,,
11,other comprehensive income,,,(81),,,0,,,"1,664",,,(3),,,"1,580",
12,Total change for the period,,,(114),,,(980),,,"1,883",,,(1),,,788,
13,"September 30, 2013",,,(204),,,752,,,"(25,523)",,,3,,,"(24,971)",
14,,,,,,,,,,,,,,,,,
15,Net Change,,Net Unrealized,,,,,,,,,,,,,,
16,Net Unrealized,,Foreign,,Retirement-,,Gains/(Losses),,Accumulated,,,,,,,,
17,Gains/(Losses),,Currency,,Related,,on Available-,,Other,,,,,,,,
18,on Cash Flow,,Translation,,Benefit,,For-Sale,,Comprehensive,,,,,,,,
19,(Dollars in Millions),,Hedges,,Adjustments*,,Plans,,Securities,,Income/(Loss),,,,,,
20,"January 1, 2012",,,71,,,"1,767",,,"(23,737)",,,13,,,"(21,885)",
21,Other comprehensive income before,,,,,,,,,,,,,,,,
22,reclassifications,,,31,,,172,,,41,,,20,,,264,
23,Amount reclassified from accumulated,,,,,,,,,,,,,,,,
24,other comprehensive income,,,(164),,,0,,,"1,090",,,(26),,,900,
25,Total change for the period,,,(133),,,172,,,"1,132",,,(6),,,"1,165",
26,"September 30, 2012",,,(61),,,"1,939",,,"(22,606)",,,7,,,"(20,720)",
27,,,,,,,,,,,,,,,,,
28,"* Foreign currency translation adjustments are presented
  gross except for any associated hedges which are presented net of tax.",,,,,,,,,,,,,,,,
