,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,"Cost/(Income)
  of Pension Plans",,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
2,(Dollars in millions),,U.S. Plans,,Non-U.S. Plans,,,,,,,,,,
3,For the three months ended September 30,,2013,,2012,,2013,,2012,,,,,,
4,"Service
  cost",,,—,,,—,,,124,,,109,,
5,"Interest
  cost",,,495,,,549,,,379,,,439,,
6,"Expected
  return on plan assets",,,(995),,,"(1,011)",,,(546),,,(570),,
7,"Amortization
  of prior service costs/(credits)",,,2,,,2,,,(29),,,(39),,
8,"Recognized
  actuarial losses",,,448,,,333,,,397,,,255,,
9,"Curtailments
  and settlements",,,—,,,—,,,0,,,0,,
10,"Multi-employer
  plans/other costs",,,—,,,—,,,16,,,188,*,
11,"Total
  net periodic pension (income)/cost of defined",,,,,,,,,,,,,,
12,"benefit
  plans",,,(50),,,(127),,,341,,,381,,
13,"Cost
  of defined contribution plans",,,204,,,209,,,137,,,148,,
14,"Total
  defined benefit and contribution plans cost recognized",,,,,,,,,,,,,,
15,"in
  the Consolidated Statement of Earnings",,,154,,,82,,,478,,,530,,
16,,,,,,,,,,,,,,,
