,0,1,2,3,4,5,6,7,8,9
0,,,,,,"At September 30,",,"At December 31,",,
1,(Dollars in millions),,2013,,2012,,,,,
2,Assets,,,,,,,,,
3,"Current
  assets",,,,,,,,,
4,"Cash
  and cash equivalents",,,"10,072",,,"10,412",,,
5,"Marketable
  securities",,,160,,,717,,,
6,"Notes
  and accounts receivable - trade (net of allowances of 273",,,,,,,,,
7,"in
  2013 and 255 in 2012)",,,"9,865",,,"10,667",,,
8,"Short-term
  financing receivables (net of allowances of 280 in 2013",,,,,,,,,
9,"and
  288 in 2012)",,,"16,786",,,"18,038",,,
10,"Other
  accounts receivable (net of allowances of 29 in 2013 and",,,,,,,,,
11,"17
  in 2012)",,,"1,683",,,"1,873",,,
12,"Inventories,
  at lower of average cost or market",,,,,,,,,
13,"Finished
  goods",,,528,,,475,,,
14,"Work
  in process and raw materials",,,"1,964",,,"1,812",,,
15,"Total
  inventories",,,"2,492",,,"2,287",,,
16,"Deferred
  taxes",,,"1,752",,,"1,415",,,
17,"Prepaid
  expenses and other current assets",,,"4,723",,,"4,024",,,
18,"Total
  current assets",,,"47,533",,,"49,433",,,
19,,,,,,,,,,
20,"Property,
  plant and equipment",,,"40,808",,,"40,501",,,
21,"Less
  Accumulated depreciation",,,"26,931",,,"26,505",,,
22,"Property,
  plant and equipment — net",,,"13,877",,,"13,996",,,
23,"Long-term
  financing receivables (net of allowances of 72 in 2013",,,,,,,,,
24,"and
  66 in 2012)",,,"11,675",,,"12,812",,,
25,"Prepaid
  pension assets",,,"1,476",,,945,,,
26,"Deferred
  taxes",,,"3,682",,,"3,973",,,
27,Goodwill,,,"30,882",,,"29,247",,,
28,"Intangible
  assets — net",,,"4,003",,,"3,787",,,
29,"Investments
  and sundry assets",,,"4,718",,,"5,021",,,
30,"Total
  assets",,,"117,845",,,"119,213",,,
31,,,,,,,,,,
32,(Amounts may not add due to rounding.),,,,,,,,,
33,,,,,,,,,,
34,"(The accompanying notes are an integral part of the
  financial statements.)",,,,,,,,,
