,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,(Dollars in millions),,U.S. Plans,,Non-U.S. Plans,,,,,,,,,,
1,For the nine months ended September 30,,2013,,2012,,2013,,2012,,,,,,
2,"Service
  cost",,,—,,,—,,,375,,,332,,
3,"Interest
  cost",,,"1,485",,,"1,647",,,"1,137",,,"1,332",,
4,"Expected
  return on plan assets",,,"(2,986)",,,"(3,033)",,,"(1,636)",,,"(1,723)",,
5,"Amortization
  of prior service costs/(credits)",,,7,,,7,,,(90),,,(116),,
6,"Recognized
  actuarial losses",,,"1,343",,,998,,,"1,195",,,770,,
7,"Curtailments
  and settlements",,,—,,,—,,,—,,,1,,
8,"Multi-employer
  plan/other costs",,,—,,,—,,,71,,,234,*,
9,"Total
  net periodic pension (income)/cost of defined",,,,,,,,,,,,,,
10,"benefit
  plans",,,(151),,,(381),,,"1,052",,,831,,
11,"Cost
  of defined contribution plans",,,603,,,686,,,437,,,467,,
12,"Total
  defined benefit and contribution plans cost recognized",,,,,,,,,,,,,,
13,"in
  the Consolidated Statement of Earnings",,,452,,,305,,,"1,489",,,"1,297",,
14,,,,,,,,,,,,,,,
