,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,"The following table
  provides the components of the cost/(income) for the company's nonpension
  postretirement plans",,,,,,,,,,,,,
1,,,,,,,,,,,,,,
2,"Cost
  of Nonpension Postretirement Plans",,,,,,,,,,,,,
3,U.S. Plan,,Non-U.S. Plans,,,,,,,,,,,
4,(Dollars in millions),,2013,,2012,,2013,,2012,,,,,
5,For the three months ended September 30,,,,,,,,,,,,,
6,"Service
  cost",,,9,,,9,,,2,,,2,
7,"Interest
  cost",,,41,,,50,,,14,,,16,
8,"Expected
  return on plan assets",,,0,,,—,,,(2),,,(2),
9,"Amortization
  of prior service costs/(credits)",,,—,,,—,,,(1),,,(1),
10,"Recognized
  actuarial losses",,,5,,,8,,,6,,,4,
11,"Total
  nonpension postretirement plan cost recognized in",,,,,,,,,,,,,
12,"Consolidated
  Statement of Earnings",,,55,,,67,,,19,,,19,
13,,,,,,,,,,,,,,
