,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,,,,,,,,,,,,,,
1,(Dollars in millions),,U.S. Plan,,Non-U.S. Plans,,,,,,,,,
2,For the nine months ended September 30,,2013,,2012,,2013,,2012,,,,,
3,"Service
  cost",,,26,,,28,,,7,,,7,
4,"Interest
  cost",,,123,,,150,,,46,,,48,
5,"Expected
  return on plan assets",,,(1),,,—,,,(7),,,(7),
6,"Amortization
  of prior service credits",,,—,,,—,,,(4),,,(3),
7,"Recognized
  actuarial losses",,,16,,,24,,,18,,,13,
8,"Curtailments
  and settlements",,,—,,,—,,,0,,,—,
9,"Total
  nonpension postretirement plan cost recognized in",,,,,,,,,,,,,
10,"Consolidated
  Statement of Earnings",,,164,,,201,,,60,,,58,
11,,,,,,,,,,,,,,
