,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,Foreign,,,,,
2,,,,,,,,,,,,,,Currency,,,,,
3,Purchase,,,,Translation,,,,,,,,,,,,,,
4,(Dollars in millions),,Balance,,Goodwill,,Price,,,,And Other,,Balance,,,,,,
5,Segment,,01/01/13,,Additions,,Adjustments,,Divestitures,Adjustments,,9/30/13,,,,,,,
6,"Global
  Business Services",,,"4,357",,,—,,,(0),,,—,,,(26),,,"4,331"
7,"Global
  Technology Services",,,"2,916",,,"1,245",,,5,,,—,,,(41),,,"4,126"
8,Software,,,"20,405",,,577,,,(25),,,(2),,,(137),,,"20,818"
9,"Systems
  and Technology",,,"1,568",,,13,,,33,,,—,,,(7),,,"1,607"
10,Total,,,"29,247",,,"1,834",,,13,,,(2),,,(211),,,"30,882"
11,,,,,,,,,,,,,,,,,,,
