,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,,,,,,,,,,,,,,,Yr. to Yr.,
1,,,,,,,,,,,,,,,Percent,
2,,,,,,,,,,Yr. to Yr.,,Change,,,,
3,(Dollars in millions),,,,,,,,,Percent/Margin,,Adjusted For,,,,
4,For the three months ended September 30,,2013,,,2012,,Change,,Currency,,,,,,
5,Revenue,,,,,,,,,,,,,,,
6,"Global
  Technology Services",,,"9,494",,,,"9,922",,,(4.3),,(1.1),,,
7,"Gross
  margin",,,39.0,,,,37.3,,,1.7,pts.,,,,
8,"Global
  Business Services",,,"4,558",,,,"4,542",,,0.4,,4.5,,,
9,"Gross
  margin",,,32.9,,,,31.2,,,1.8,pts.,,,,
10,Software,,,"5,798",,,,"5,763",,,0.6,,1.7,,,
11,"Gross
  margin",,,88.0,,,,88.0,,,(0.0),pts.,,,,
12,"Systems
  and Technology",,,"3,247",,,,"3,895",,,(16.6),,(15.7),,,
13,"Gross
  margin",,,33.6,,,,37.3,,,(3.6),pts.,,,,
14,"Global
  Financing",,,502,,,,472,,,6.5,,9.3,,,
15,"Gross
  margin",,,47.2,,,,45.8,,,1.4,pts.,,,,
16,Other,,,122,,,,154,,,(20.8),,(19.7),,,
17,"Gross
  margin",,,(211.6),,,,(80.4),,,(131.2),pts.,,,,
18,"Total
  consolidated revenue",,,"23,720",,,,"24,747",,,(4.1),,(1.6),,,
19,"Total
  consolidated gross profit",,,"11,380",,,,"11,732",,,(3.0),,,,,
20,"Total
  consolidated gross margin",,,48.0,,,,47.4,,,0.6,pts.,,,,
21,"Non-operating
  adjustments",,,,,,,,,,,,,,,
22,"Amortization
  of acquired intangible assets",,,101,,,,95,,,6.7,,,,,
23,"Acquisition-related
  charges",,,1,,,,0,,,nm,,,,,
24,"Retirement-related
  costs/(income)",,,154,,,,67,,,129.9,,,,,
25,"Operating
  (non-GAAP) gross profit",,,"11,636",,,,"11,894",,,(2.2),,,,,
26,"Operating
  (non-GAAP) gross margin",,,49.1,,,,48.1,,,1.0,pts.,,,,
27,,,,,,,,,,,,,,,,
28,nm - not meaningful,,,,,,,,,,,,,,,
