,0,1,2,3,4,5,6,7,8,9,10,11,12
0,"The following table presents each reportable
  segment’s pre-tax income as a percentage of total segment pre-tax income.",,,,,,,,,,,,
1,,,,,,,,,,,,,
2,,,Three Months Ended,,,Nine Months Ended,,,,,,,
3,"September 30,",,,"September 30,",,,,,,,,,
4,2013,,,2012,,,2013,,,2012,,,
5,"Global
  Technology Services",34.0,,,31.5,,,33.3,,,31.6,,
6,"Global
  Business Services",17.0,,,13.7,,,15.2,,,13.7,,
7,"Total
  Global Services",51.0,,,45.2,,,48.4,,,45.2,,
8,Software,43.2,,,43.7,,,45.8,,,43.4,,
9,"Systems
  and Technology",(3.0),,,2.3,,,(4.8),,,1.6,,
10,"Global
  Financing",8.8,,,8.8,,,10.5,,,9.7,,
11,Total,100.0,,,100.0,,,100.0,,,100.0,,
