,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,,,,,,,,,,,,,,Yr. to Yr.,
1,,,,,,,,,,,,,,Percent,
2,,,,,,,,,Yr. to Yr.,,Change,,,,
3,(Dollars in millions),,,,,,,,Percent,,Adjusted For,,,,
4,For the three months ended September 30,,2013,,2012,,Change,,Currency,,,,,,
5,"Global
  Services external revenue",,,"14,052",,,"14,463",,,(2.8),,0.6,,,
6,"Global
  Technology Services",,,"9,494",,,"9,922",,,(4.3),,(1.1),,,
7,Outsourcing,,,"5,377",,,"5,729",,,(6.1),,(2.8),,,
8,"Integrated
  Technology Services",,,"2,353",,,"2,384",,,(1.3),,1.8,,,
9,Maintenance,,,"1,764",,,"1,808",,,(2.4),,0.3,,,
10,"Global
  Business Services",,,"4,558",,,"4,542",,,0.4,,4.5,,,
11,Outsourcing,,,"1,016",,,"1,037",,,(2.0),,2.9,,,
12,"Consulting
  and Systems Integration",,,"3,542",,,"3,505",,,1.1,,5.0,,,
