,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,Software,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,Yr. to Yr.,,,,,,,,,,,
2,,,,,,,,,,,,,,,Percent,,,,,,,,,,,
3,Yr. to Yr.,,Change,,,,,,,,,,,,,,,,,,,,,,,
4,(Dollars in millions),,,,,,Percent,,Adjusted For,,,,,,,,,,,,,,,,,
5,For the three months ended September 30,,2013,,2012,,Change,,Currency,,,,,,,,,,,,,,,,,
6,"Software
  external revenue",,,"5,798",,,"5,763",,0.6,,1.7,,,,,,,,,,,,,,,
7,Middleware,,,"4,745",,,"4,696",,,1.1,,2.1,,,,,,,,,,,,,,
8,"Key
  branded middleware",,,"3,725",,,"3,626",,,2.7,,3.8,,,,,,,,,,,,,,
9,"WebSphere
  Family",,,,,,,,,0.5,,1.4,,,,,,,,,,,,,,
10,"Information
  Management",,,,,,,,,1.6,,2.6,,,,,,,,,,,,,,
11,"Social
  Workforce Solutions*",,,,,,,,,14.1,,15.4,,,,,,,,,,,,,,
12,Tivoli,,,,,,,,,1.9,,3.0,,,,,,,,,,,,,,
13,Rational,,,,,,,,,12.1,,13.6,,,,,,,,,,,,,,
14,"Other
  middleware",,,"1,021",,,"1,070",,,(4.6),,(3.5),,,,,,,,,,,,,,
15,"Operating
  systems",,,576,,,597,,,(3.5),,(2.2),,,,,,,,,,,,,,
16,Other,,,476,,,470,,,1.4,,2.4,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,
18,* Formerly Lotus,,,,,,,,,,,,,,,,,,,,,,,,,
19,Yr. to Yr.,,,,,,,,,,,,,,,,,,,,,,,,,
20,Percent,,,,,,,,,,,,,,,,,,,,,,,,,
21,Yr. to Yr.,,Change,,,,,,,,,,,,,,,,,,,,,,,
22,(Dollars in millions),,,,,,Percent,,Adjusted For,,,,,,,,,,,,,,,,,
23,For the nine months ended September 30,,2013,,2012,,Change,,Currency,,,,,,,,,,,,,,,,,
24,"Software
  external revenue",,,"17,792",,,"17,533",,,1.5,,2.6,,,,,,,,,,,,,,
25,Middleware,,,"14,613",,,"14,280",,,2.3,,3.4,,,,,,,,,,,,,,
26,"Key
  branded middleware",,,"11,530",,,"11,038",,,4.5,,5.5,,,,,,,,,,,,,,
27,"WebSphere
  Family",,,,,,,,,5.2,,6.1,,,,,,,,,,,,,,
28,"Information
  Management",,,,,,,,,1.8,,2.8,,,,,,,,,,,,,,
29,"Social
  Workforce Solutions*",,,,,,,,,14.7,,16.0,,,,,,,,,,,,,,
30,Tivoli,,,,,,,,,5.7,,6.8,,,,,,,,,,,,,,
31,Rational,,,,,,,,,7.6,,8.9,,,,,,,,,,,,,,
32,"Other
  middleware",,,"3,083",,,"3,242",,,(4.9),,(3.8),,,,,,,,,,,,,,
33,"Operating
  systems",,,"1,760",,,"1,816",,,(3.1),,(1.8),,,,,,,,,,,,,,
34,Other,,,"1,419",,,"1,438",,,(1.3),,(0.4),,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,
36,* Formerly Lotus,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,
