,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,,,,,,,,,,,,,,,,,,,,,,
1,,Common,,,,,,,,,,,,,,,,,,,,
2,,Stock and,,,Accumulated,,,,,,,,,,,,,,,,,
3,Additional,,,Other,Total IBM,Non-,,,,,,,,,,,,,,,,
4,Paid-in,,Retained,,Treasury,,Comprehensive,,Stockholders',,Controlling,,Total,,,,,,,,,
5,(Dollars in millions),,Capital,,Earnings,,Stock,,Income/(Loss),,Equity,,Interests,,Equity,,,,,,,
6,"Equity
  - January 1, 2013",,,"50,110",,,"117,641",,,"(123,131)",,,"(25,759)",,,"18,860",,,124,,,"18,984"
7,"Net
  income plus other",,,,,,,,,,,,,,,,,,,,,
8,comprehensive income/(loss),,,,,,,,,,,,,,,,,,,,,
9,Net income,,,,,,"10,299",,,,,,,,,"10,299",,,,,,"10,299"
10,Other comprehensive income/(loss),,,,,,,,,,,,788,,,788,,,,,,788
11,"Total
  comprehensive income/(loss)",,,,,,,,,,,,,,,"11,087",,,,,,"11,087"
12,"Cash
  dividends declared –",,,,,,,,,,,,,,,,,,,,,
13,common stock,,,,,,"(3,033)",,,,,,,,,"(3,033)",,,,,,"(3,033)"
14,"Common
  stock issued under",,,,,,,,,,,,,,,,,,,,,
15,"employee plans (8,258,027 shares)",,,930,,,,,,,,,,,,930,,,,,,930
16,"Purchases
  (1,419,498 shares) and",,,,,,,,,,,,,,,,,,,,,
17,"sales (1,574,179 shares) of  treasury",,,,,,,,,,,,,,,,,,,,,
18,stock under employee plans – net,,,,,,(22),,,(106),,,,,,(127),,,,,,(127)
19,"Other
  treasury shares purchased,",,,,,,,,,,,,,,,,,,,,,
20,"not retired (39,926,001 shares)",,,,,,,,,"(8,003)",,,,,,"(8,003)",,,,,,"(8,003)"
21,"Changes
  in other equity",,,164,,,,,,,,,,,,164,,,,,,164
22,"Changes
  in noncontrolling interests",,,,,,,,,,,,,,,,,,7,,,7
23,"Equity
  - September 30, 2013",,,"51,203",,,"124,885",,,"(131,240)",,,"(24,971)",,,"19,877",,,131,,,"20,008"
24,,,,,,,,,,,,,,,,,,,,,,
25,Common,,,,,,,,,,,,,,,,,,,,,
26,Stock and,,,Accumulated,,,,,,,,,,,,,,,,,,
27,Additional,,,Other,Total IBM,Non-,,,,,,,,,,,,,,,,
28,Paid-in,,Retained,,Treasury,,Comprehensive,,Stockholders',,Controlling,,Total,,,,,,,,,
29,(Dollars in millions),,Capital,,Earnings,,Stock,,Income/(Loss),,Equity,,Interests,,Equity,,,,,,,
30,"Equity
  - January 1, 2012",,,"48,129",,,"104,857",,,"(110,963)",,,"(21,885)",,,"20,138",,,97,,,"20,236"
31,"Net
  income plus other",,,,,,,,,,,,,,,,,,,,,
32,comprehensive income/(loss),,,,,,,,,,,,,,,,,,,,,
33,Net income,,,,,,"10,771",,,,,,,,,"10,771",,,,,,"10,771"
34,Other comprehensive income/(loss),,,,,,,,,,,,"1,165",,,"1,165",,,,,,"1,165"
35,"Total
  comprehensive income/(loss)",,,,,,,,,,,,,,,"11,936",,,,,,"11,936"
36,"Cash
  dividends declared –",,,,,,,,,,,,,,,,,,,,,
37,common stock,,,,,,"(2,816)",,,,,,,,,"(2,816)",,,,,,"(2,816)"
38,"Common
  stock issued under",,,,,,,,,,,,,,,,,,,,,
39,"employee plans (12,322,115 shares)",,,"1,149",,,,,,,,,,,,"1,149",,,,,,"1,149"
40,"Purchases
  (2,092,008 shares) and",,,,,,,,,,,,,,,,,,,,,
41,"sales (2,358,099 shares) of  treasury",,,,,,,,,,,,,,,,,,,,,
42,stock under employee plans – net,,,,,,(40),,,(145),,,,,,(185),,,,,,(185)
43,"Other
  treasury shares purchased,",,,,,,,,,,,,,,,,,,,,,
44,"not retired (45,838,313 shares)",,,,,,,,,"(9,007)",,,,,,"(9,007)",,,,,,"(9,007)"
45,"Changes
  in other equity",,,324,,,,,,,,,,,,324,,,,,,324
46,"Changes
  in noncontrolling interests",,,,,,,,,,,,,,,,,,29,,,29
47,"Equity
  - September 30, 2012",,,"49,603",,,"112,773",,,"(120,115)",,,"(20,720)",,,"21,541",,,126,,,"21,666"
48,,,,,,,,,,,,,,,,,,,,,,
49,(Amounts may not add due to rounding.),,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,
51,"(The accompanying notes are an integral part of the
  financial statements.)",,,,,,,,,,,,,,,,,,,,,
