,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,"Systems
  and Technology",,,,,,,,,,,,,,
1,,,,,,,,,,,,,,Yr. to Yr.,
2,,,,,,,,,,,,,,Percent,
3,Yr. to Yr.,,Change,,,,,,,,,,,,
4,(Dollars in millions),,,,,,Percent,,Adjusted For,,,,,,
5,For the three months ended September 30,,2013,,2012,,Change,,Currency,,,,,,
6,"Systems
  and Technology external revenue",,,"3,247",,,"3,895",,,(16.6),,(15.7),,,
7,"System
  z",,,,,,,,,6.3,,7.0,,,
8,"Power
  Systems",,,,,,,,,(37.6),,(36.9),,,
9,"System
  x",,,,,,,,,(17.6),,(16.4),,,
10,Storage,,,,,,,,,(11.4),,(9.8),,,
11,"Total
  Systems excluding RSS",,,,,,,,,(18.2),,(17.1),,,
12,"Microelectronics
  OEM",,,,,,,,,1.3,,1.3,,,
13,"Total
  Systems and Technology excluding RSS",,,,,,,,(15.9),,(15.0),,,,
14,"Retail
  Store Solutions (Divested)",,,,,,,,,(98.3),,(98.3),,,
