,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,,,,,,,,,,,,,,Yr. to Yr.,
1,,,,,,,,,,,,,,Percent,
2,,,,,,,,,,,Yr. to Yr.,,Change,,
3,(Dollars in millions),,,,,,Percent,,Adjusted For,,,,,,
4,For the nine months ended September 30,,2013,,2012,,Change,,Currency,,,,,,
5,"Systems
  and Technology external revenue",,,"10,111",,,"11,903",,,(15.1),,(14.3),,,
6,"System
  z",,,,,,,,,8.0,,8.8,,,
7,"Power
  Systems",,,,,,,,,(31.3),,(30.7),,,
8,"System
  x",,,,,,,,,(12.6),,(11.8),,,
9,Storage,,,,,,,,,(9.6),,(8.5),,,
10,"Total
  Systems excluding RSS",,,,,,,,,(13.6),,(12.8),,,
11,"Microelectronics
  OEM",,,,,,,,,(2.8),,(2.7),,,
12,"Total
  Systems and Technology excluding RSS",,,,,,,,(12.5),,(11.7),,,,
13,"Retail
  Store Solutions (Divested)",,,,,,,,,(99.2),,(99.2),,,
