,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,,,,,,,,,,,,,,Yr. to Yr.,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,Percent,,,,,,,,,,,,,,
2,,,,,,,,,,,Yr. to Yr.,,Change,,,,,,,,,,,,,,,
3,(Dollars in millions),,,,,,Percent,,Adjusted For,,,,,,,,,,,,,,,,,,,
4,For the three months ended September 30,,2013,,2012,,Change,,Currency,,,,,,,,,,,,,,,,,,,
5,"Total
  Revenue",,,"23,720",,,"24,747",,,(4.1),,(1.6),,,,,,,,,,,,,,,,
6,Geographies,,,"23,186",,,"24,209",,,(4.2),,(1.7),,,,,,,,,,,,,,,,
7,Americas,,,"10,305",,,"10,448",,,(1.4),,(0.2),,,,,,,,,,,,,,,,
8,"Europe/Middle
  East/Africa (EMEA)",,,"7,334",,,"7,238",,,1.3,,(1.6),,,,,,,,,,,,,,,,
9,"Asia
  Pacific",,,"5,547",,,"6,523",,,(15.0),,(4.2),,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"Major
  markets",,,,,,,,,(2.7),,(0.6),,,,,,,,,,,,,,,,
12,"Growth
  markets",,,,,,,,,(8.8),,(5.1),,,,,,,,,,,,,,,,
13,"BRIC
  countries",,,,,,,,,(14.8),,(11.9),,,,,,,,,,,,,,,,
14,Yr. to Yr.,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Yr. to Yr.,,Change,,,,,,,,,,,,,,,,,,,,,,,,,
17,(Dollars in millions),,,,,,Percent,,Adjusted For,,,,,,,,,,,,,,,,,,,
18,For the nine months ended September 30,,2013,,2012,,Change,,Currency,,,,,,,,,,,,,,,,,,,
19,"Total
  Revenue",,,"72,052",,,"75,203",,,(4.2),,(2.1),,,,,,,,,,,,,,,,
20,Geographies,,,"70,553",,,"73,644",,,(4.2),,(2.0),,,,,,,,,,,,,,,,
21,Americas,,,"31,056",,,"32,006",,,(3.0),,(2.1),,,,,,,,,,,,,,,,
22,"Europe/Middle
  East/Africa (EMEA)",,,"22,451",,,"22,684",,,(1.0),,(2.2),,,,,,,,,,,,,,,,
23,"Asia
  Pacific",,,"17,046",,,"18,953",,,(10.1),,(1.7),,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"Major
  markets",,,,,,,,,(4.5),,(2.4),,,,,,,,,,,,,,,,
26,"Growth
  markets",,,,,,,,,(3.1),,(0.9),,,,,,,,,,,,,,,,
27,"BRIC
  countries",,,,,,,,,(5.6),,(3.2),,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
