,0,1,2,3,4,5,6,7,8,9,10
0,,,,,,,,,,,
1,"Research,
  Development and Engineering",,,,,,,,,,
2,,,,,,,,,,,
3,Yr. to Yr.,,,,,,,,,,
4,(Dollars in millions),,,,,,,,Percent,,
5,"For the three months ended September
  30",,2013,,2012,,Change,,,,
6,"Total
  consolidated research, development and 
  engineering",,,"1,468",,,"1,534",,(4.3),,
7,"Non-operating
  adjustment",,,,,,,,,,
8,Non-operating retirement-related (costs)/income,,,(14),,,5,,nm,,
9,"Operating
  (non-GAAP) research, development and engineering",,,"1,454",,,"1,539",,(5.5),,
10,,,,,,,,,,,
11,nm - not meaningful,,,,,,,,,,
