,0,1,2,3,4,5,6
0,,,"At September 30,",,"At December 31,",,
1,(Dollars in millions),,2013,,2012,,
2,"Cash
  and cash equivalents",,,"1,452",,,"1,380"
3,"Net
  investment in sales-type and direct financing leases",,,"9,568",,,"10,008"
4,"Equipment
  under operating leases",,,,,,
5,External clients (a),,,"1,032",,,"1,273"
6,Internal clients (b) (c),,,0,,,25
7,"Client
  loans",,,"12,649",,,"13,121"
8,"Total
  client financing assets",,,"23,249",,,"24,428"
9,"Commercial
  financing receivables",,,"6,278",,,"7,755"
10,"Intercompany
  financing receivables (b) (c)",,,"4,061",,,"4,328"
11,"Other
  receivables",,,366,,,459
12,"Other
  assets",,,699,,,533
13,"Total
  assets",,,"36,105",,,"38,882"
14,"Intercompany
  payables (b)",,,"3,011",,,"6,802"
15,"Debt
  (d)",,,"25,824",,,"24,501"
16,"Other
  liabilities",,,"3,639",,,"4,084"
17,"Total
  liabilities",,,"32,475",,,"35,388"
18,"Total
  equity",,,"3,631",,,"3,494"
19,"Total
  liabilities and equity",,,"36,105",,,"38,882"
