,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Unguaranteed Residual Value,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,Estimated Run Out of,,,,,,,,,,
3,At,,,,At,,,"September 30, 2013
  Balance",,,,,,,,,,,,,
4,"January 1,",,"September 30,",,,,,,,,2016 and,,,,,,,,,,
5,(Dollars in millions),,2013,,2013,,2013,,2014,,2015,,Beyond,,,,,,,,
6,"Sales-type
  and direct financing",,,,,,,,,,,,,,,,,,,,
7,leases,,,794,,,,734,,,,47,,,164,,,207,,,316
8,"Operating
  leases",,,259,,,,208,,,,35,,,76,,,53,,,44
9,"Total
  unguaranteed residual",,,,,,,,,,,,,,,,,,,,
10,value,,,"1,053",,,,942,,,,82,,,240,,,260,,,360
11,"Related
  original amount",,,,,,,,,,,,,,,,,,,,
12,financed,,,"18,744",,,,"17,528",,,,,,,,,,,,,
13,Percentage,,,5.6,,,,5.4,,,,,,,,,,,,,
