,0,1,2,3,4,5,6
0,b'(Dollars\xc2\xa0in\xc2\xa0millions)',b'',"b'At September 30,'",b'',"b'At\xc2\xa0December\xc2\xa031,'",b'n',b'n'
1,b'2013',b'2012',,,,b'n',b'n'
2,b'Liabilities:',b'',b'',b'',b'',b'',b''
3,b'Current\n  liabilities:',b'',b'',b'',b'',b'',b''
4,b'Taxes',b'',,"b'4,746'",b'',b'',b'4'
5,b'Short-term\n  debt',b'',b'',"b'7,702'",b'',b'',b'9'
6,b'Accounts\n  payable',b'',b'',"b'6,263'",b'',b'',b'7'
7,b'Compensation\n  and benefits',b'',b'',"b'4,210'",b'',b'',b'4'
8,b'Deferred\n  income',b'',b'',"b'11,658'",b'',b'',b'1'
9,b'Other\n  accrued expenses and liabilities',b'',b'',"b'4,643'",b'',b'',b'4'
10,b'Total\n  current liabilities',b'',b'',"b'39,222'",b'',b'',b'4'
11,b'Long-term\n  debt',b'',b'',"b'28,478'",b'',b'',b'2'
12,b'Retirement\n  and nonpension postretirement benefit obligations',b'',b'',"b'17,994'",b'',b'',b'2'
13,b'Deferred\n  income',b'',b'',"b'4,087'",b'',b'',b'4'
14,b'Other\n  liabilities',b'',b'',"b'8,057'",b'',b'',b'7'
15,b'Total\n  liabilities',b'',b'',"b'97,837'",b'',b'',b'1'
16,b'Equity:',b'',b'',b'',b'',b'',b''
17,b'IBM\n  stockholders\xe2\x80\x99 equity:',b'',b'',b'',b'',b'',b''
18,,b'',b'',"b'51,203'",b'',b'',b'5'
19,"b'Shares\n  authorized: 4,687,500,000'",b'',b'',b'',b'',b'',b''
20,"b'Shares\n  issued: 2013 - 2,205,819,186'",b'',b'',b'',b'',b'',b''
21,"b'2012 - 2,197,561,159'",b'',b'',b'',b'',b'',b''
22,b'Retained\n  earnings',b'',b'',"b'124,885'",b'',b'',b'1'
23,b'Treasury\n  stock - at cost',b'',b'',"b'(131,240)'",b'',b'',b'('
24,"b'Shares:\n  2013 - 1,119,964,803'",b'',b'',b'',b'',b'',b''
25,"b'2012 - 1,080,193,483'",b'',b'',b'',b'',b'',b''
26,b'Accumulated\n  other comprehensive income/(loss)',b'',b'',"b'(24,971)'",b'',b'',b'('
27,b'Total\n  IBM stockholders\xe2\x80\x99 equity',b'',b'',"b'19,877'",b'',b'',b'1'
28,b'Noncontrolling\n  interests',b'',b'',b'131',b'',b'',b'1'
29,b'Total\n  equity',b'',b'',"b'20,008'",b'',b'',b'1'
30,b'Total\n  liabilities and equity',b'',,"b'117,845'",b'',b'',b'1'
31,,,,,,b'n',b'n'
32,,,,,,b'n',b'n'
33,b'(Amounts may not add due to rounding.)',b'',b'',b'',b'',b'',b''
34,,,,,,b'n',b'n'
35,b'(The accompanying notes are an integral part of the\n  financial statements.)',b'',b'',b'',b'',b'',b''
